player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Cole Swider,swideco01,2023,RS,LAL,91,41,0.012696281,-5.050264314,-5.037568033,4.335435818,-2.651701177,1.683734642,0.932913389,-4.842843866,-3.909930477,-0.024003285,-0.024003285,0,-0.129566678,-5.715148549,-5.844715227,-1.083118447
Jae'Sean Tate,tateja01,2023,RS,HOU,1426,677,-1.445101124,0.82858759,-0.616513535,-2.147175528,1.588901003,-0.558274525,-1.637331973,1.100167296,-0.537164677,0.76180764,0.76180764,0,-2.775509767,0.045210166,-2.730299602,-0.332468699
Jayson Tatum,tatumja01,2023,PO,BOS,1595,799,4.859658728,0.482965709,5.342624436,3.344468467,3.545542901,6.890011368,4.724842351,1.134508254,5.859350605,3.601727794,0,3.601727794,3.885802096,0.622186264,4.50798836,-0.48594502
Jayson Tatum,tatumja01,2023,RS,BOS,5678,2732,4.081103588,-0.524408803,3.556694785,4.995312039,-1.129956641,3.865355398,4.43313017,-0.731319227,3.701810943,8.987495557,8.987495557,0,5.926616679,-0.306314634,5.620302046,-0.061358987
Terry Taylor,taylote01,2023,RS,IND,505,228,-3.356407373,-5.735367345,-9.091774719,-1.928323783,1.156279491,-0.772044293,-3.227865643,-4.580841458,-7.808707101,-0.586988273,-0.586988273,0,-4.027141363,-5.616308744,-9.643450107,-0.251944221
Terry Taylor,taylote01,2023,RS,CHI,75,36,2.22796272,3.145872381,5.3738351,7.406765058,17.65243689,25.05920195,3.431472244,6.306057331,9.737529575,0.226400256,0.226400256,0,1.377280729,2.439721729,3.817002458,-1.302901252
Garrett Temple,templga01,2023,RS,NOP,362,162,-0.788835838,0.419566961,-0.369268877,-7.732901663,1.430456305,-6.302445357,-2.304696614,0.619776325,-1.684920289,0.088423643,0.088423643,0,-2.395336556,-0.055694587,-2.451031144,0.449738885
Dalen Terry,terryda01,2023,RS,CHI,458,214,0.915820556,1.498428803,2.414249359,-5.178880342,4.669460303,-0.509420039,-0.287356488,2.214752698,1.927396211,0.510705901,0.510705901,0,-1.873588176,1.50914081,-0.364447366,0.00290259
Daniel Theis,theisda01,2023,RS,IND,232,109,-2.802837024,-6.208020127,-9.010857151,-1.740119815,-0.937349375,-2.67746919,-2.749876598,-5.446623959,-8.196500557,-0.302037423,-0.302037423,0,-1.842244149,-5.175978262,-7.018222412,-0.284009788
Cam Thomas,thomaca02,2023,PO,BRK,30,16,-3.392109843,-9.824853392,-13.21696324,-11.47745313,-6.711338109,-18.18879124,-5.154373595,-9.836037885,-14.99041148,-0.10142268,0,-0.10142268,-8.289392919,-8.604415755,-16.89380867,-1.552999679
Cam Thomas,thomaca02,2023,RS,BRK,1989,948,-0.454261698,-1.327757071,-1.782018769,-2.294760693,-1.484863125,-3.779623818,-0.870983879,-1.446268308,-2.317252187,0.208603416,0.208603416,0,-0.605448388,-2.022853577,-2.628301965,-0.339270014
Klay Thompson,thompkl01,2023,PO,GSW,999,468,-0.12909778,-0.37852755,-0.50762533,1.238977196,3.003816352,4.242793548,0.174491367,0.252963204,0.427454571,0.78166906,0,0.78166906,-0.908645023,-0.394501326,-1.303146348,-0.102277488
Klay Thompson,thompkl01,2023,RS,GSW,4935,2279,0.826985096,-1.641852259,-0.814867164,1.939164351,0.018124962,1.957289313,1.080092724,-1.400712151,-0.320619427,2.846994604,2.846994604,0,2.251046018,-1.47274052,0.778305498,0.794769531
Tristan Thompson,thomptr01,2023,PO,LAL,64,32,-5.873694241,1.528547472,-4.345146769,-1.250321172,11.13902324,9.88870207,-5.296502983,3.647150371,-1.649352613,0.018341938,0,0.018341938,-5.013051897,2.503149575,-2.509902323,-1.011855439
JT Thor,thorjt01,2023,RS,CHA,2068,969,-4.85640121,-0.678052221,-5.534453431,-4.653431119,1.04861104,-3.604820079,-5.06362111,-0.341453261,-5.405074371,-1.3102095,-1.3102095,0,-4.924045695,-1.318920826,-6.242966521,-0.185797239
Matisse Thybulle,thybuma01,2023,RS,PHI,1263,591,-2.055772573,3.790821571,1.735048997,-2.126627331,6.282270443,4.155643112,-2.215757254,4.519973334,2.30421608,1.526522375,1.526522375,0,-2.466750218,4.015726063,1.548975845,0.167807043
